7.54,36.11,31.1,42.4,19.53,1.56,273.28,57.12,645,234,48.31,1
7.66,119.37,19,58.2,60.71,1.17,195.2,220.8,998,224,55.7,0
5.98,117.07,29.65,145.4,37.28,2.73,580.72,190.08,1516,486,97.02,0
7.02,45.08,23.35,49.6,23.43,1.17,248.88,74.88,658,220,46.45,1
6.97,73.37,33.03,50.4,35.15,2.34,346.48,83.04,875,262,58.79,0
7.16,121.9,29.65,67.8,47.22,1.17,195.2,310.08,1153,292,63.31,0
7.34,54.05,16.58,56.6,24.5,1.17,297.68,45.12,676,210,48.35,1
7.27,55.2,25.29,68.6,45.09,1.95,307.44,74.88,817,276,57.01,0
7.21,59.8,32.55,57.4,31.24,3.12,341.6,80.16,848,278,59.62,0
7.58,64.63,30.61,44.8,27.34,2.73,307.44,81.12,786,238,54.51,0
7.13,80.96,27.71,98.2,66.74,1.95,458.72,60,1098,360,74.68,0
7.36,23.23,34,42.4,15.62,1.17,263.52,52.8,613,246,47.11,1
7.22,62.1,26.26,55.2,32.31,1.56,326.96,61.92,788,246,54.58,0
7.31,37.95,20.45,68.6,29.47,1.56,307.44,39.84,698,256,52.13,0
7.26,67.39,21.9,63,27.34,1.56,297.68,104.16,815,248,54.66,0
7.35,82.57,14.64,40.8,29.47,1.56,263.52,79.2,706,162,45.76,1
7.32,25.99,9.68,39.2,13.85,0.78,180.56,24.96,402,138,32.45,1
7.43,32.2,7.74,48,22.72,0.78,195.2,26.88,458,152,35.47,1
7.51,41.4,7.74,46.4,14.56,1.17,195.2,52.8,494,148,36.59,1
7.47,114.77,24.32,81.4,47.22,1.56,258.64,260.16,1143,304,66.46,0
7.44,28.29,8.71,41.6,15.62,0.78,185.44,24,417,140,33.26,1
7.33,105.8,20.45,59,34.44,1.17,278.16,172.8,962,232,57.06,0
7.46,21.85,10.65,47.2,10.65,0.78,204.96,23.04,434,162,35.57,1
7.07,46.92,21.42,60.6,31.24,1.56,287.92,57.12,707,240,50.64,0
7.32,33.81,7.74,52,16.69,0.78,165.92,70.08,490,162,35.9,1
7.24,29.9,10.16,57.4,25.56,0.78,190.32,54.24,518,186,38.78,1
7.37,78.66,14.16,41.6,31.24,0.78,200.08,116.16,693,162,42.79,1
7.36,126.73,33.03,65.4,51.12,1.95,263.52,271.2,1190,300,67.74,0
7.42,25.3,8.23,39.2,15.62,0.78,175.68,19.2,390,132,31.65,1
8.94,31.8,19.4,31.2,29.9,3,125.9,32,431,157.7,33.7,1
9.11,30,20.3,32.2,30.6,4.8,145.1,30,448,164.1,36.57,1
8.3,33.7,20.1,32,33.1,5.4,128,45,472,162.8,36.03,1
9.01,32.3,20.7,33.4,31.9,5.3,136.9,45.8,469,168.6,37.38,1
8.69,33.6,19.4,32.1,29.9,5.8,149.4,45.4,492,165.1,37.64,1
8.69,23.6,17.3,29.7,33.6,9.8,108.3,23,485,145.5,36.75,1
8.9,31.1,17.2,27.6,30.9,5,84.7,40.9,468,139.8,32.28,1
8.78,33.3,17.9,24.9,34.8,5.5,111.4,34.2,425,136.3,33.32,1
8.6,33.3,16,19.8,34.1,5.5,79,35.9,368,0.1,26.3,1
8.97,33.3,17,19.6,37,5.4,81.8,35.3,395,0.1,27.07,1
9.42,32,15,22,38.9,6.5,73.72,41.66,400,117.39,31.58,1
9.4,33,16,24.26,45,6.8,100.45,45.1,419.5,126.55,34.14,1
8.69,33,16,25,45,6.8,139.5,45.1,427,129.04,35.45,1
9.2,38,18.6,28.4,42.9,7.5,128.45,39.6,444.6,148.36,37.59,1
8.77,40,20.42,29.98,42.3,7.6,132.56,45.77,465,159.89,38.61,1
8.07,44.55,18.79,28.1,38.6,7.05,130.58,39.61,446,148.38,36.46,1
8.77,35.37,17.92,29.43,40,6.21,127.37,47.42,441.6,148.07,36.07,1
8.2,34.31,16.05,25.85,41.4,6.51,141.55,27.65,466,131.37,34.89,1
8.62,32.13,0.01,27.85,36.6,5.44,137.84,30,444.4,141.62,31.63,1
